nm	mua[cm-1]	musp[cm-1]
960.0	0.4908	5.055
962.0	0.4852999999999999	5.034
964.0	0.4819	5.026000000000001
966.0	0.4786	5.01
968.0	0.4763	4.991
970.0	0.4719	4.976999999999999
972.0	0.4713	4.966
974.0	0.4657	4.958
976.0	0.4623	4.942
978.0	0.4603	4.926
980.0	0.4577	4.91
982.0	0.4587	4.9030000000000005
984.0	0.456	4.885
986.0	0.4541	4.874
988.0	0.453	4.857
990.0	0.4527	4.846
992.0	0.4503999999999999	4.838
994.0	0.4513	4.834
996.0	0.4496	4.816
998.0	0.4525	4.803
1000.0	0.4505	4.794
1002.0	0.4522	4.774
1004.0	0.4549999999999999	4.766
1006.0	0.4522	4.749
1008.0	0.4548	4.7410000000000005
1010.0	0.4566	4.734999999999999
1012.0	0.4573	4.714
1014.0	0.461	4.706
1016.0	0.4619	4.693
1018.0	0.4628	4.681
1020.0	0.4652	4.668
1022.0	0.4614999999999999	4.654
1024.0	0.4632	4.638
1026.0	0.4605	4.623
1028.0	0.4586	4.611
1030.0	0.4623	4.598
1032.0	0.4586	4.584
1034.0	0.4578	4.57
1036.0	0.4589	4.548
1038.0	0.453	4.548
1040.0	0.4579	4.53
1042.0	0.4555	4.521
1044.0	0.4519999999999999	4.513
1046.0	0.4532	4.501
1048.0	0.4452	4.492
1050.0	0.4444	4.481
1052.0	0.4415	4.464
1054.0	0.4338999999999999	4.467
1056.0	0.4361	4.448
1058.0	0.4299	4.434
1060.0	0.4256999999999999	4.423
1062.0	0.4266	4.42
1064.0	0.4173	4.407
1066.0	0.4179	4.398000000000001
1068.0	0.4141	4.379
1070.0	0.4074	4.37
1072.0	0.411	4.356999999999999
1074.0	0.4043	4.351
1076.0	0.4013	4.339
1078.0	0.4028	4.324
1080.0	0.3923	4.3180000000000005
1082.0	0.3966999999999999	4.299
1084.0	0.3921	4.288
1086.0	0.3853	4.285
1088.0	0.3902	4.272
1090.0	0.3814	4.257000000000001
1092.0	0.3792999999999999	4.249
1094.0	0.3787999999999999	4.239
1096.0	0.372	4.2330000000000005
1098.0	0.376	4.215
1100.0	0.3727	4.206
1102.0	0.3679	4.201
1104.0	0.374	4.189
1106.0	0.3679	4.173
1108.0	0.369	4.168
1110.0	0.3691	4.158
1112.0	0.3628	4.141
1114.0	0.3686	4.126
1116.0	0.3671	4.114
1118.0	0.3647	4.108
1120.0	0.3696	4.0920000000000005
1122.0	0.3661	4.077
1124.0	0.3714	4.068
1126.0	0.3741	4.057
1128.0	0.3736	4.051
1130.0	0.3827	4.037
1132.0	0.3891	4.024
1134.0	0.3999	4.019
1136.0	0.416	4.002
1138.0	0.429	4.001
1140.0	0.4521	3.987
1142.0	0.4721999999999999	3.983
1144.0	0.4936	3.973
1146.0	0.5154000000000001	3.963
1148.0	0.5356000000000001	3.955
1150.0	0.5636	3.941
1152.0	0.5837	3.934
1154.0	0.5904	3.925
1156.0	0.5962	3.917
1158.0	0.6011	3.906
1160.0	0.6126	3.902
1162.0	0.6373	3.886
1164.0	0.6672	3.88
1166.0	0.6998	3.87
1168.0	0.7245	3.865
1170.0	0.744	3.859
1172.0	0.7655000000000001	3.846
1174.0	0.7932	3.838
1176.0	0.8315	3.834
1178.0	0.8694000000000001	3.822
1180.0	0.919	3.818
1182.0	0.9741	3.813
1184.0	1.053	3.814
1186.0	1.167	3.809
1188.0	1.2759999999999998	3.819
1190.0	1.3769999999999998	3.814
1192.0	1.457	3.81
1194.0	1.5	3.802
1196.0	1.527	3.793
1198.0	1.53	3.78
1200.0	1.533	3.768
1202.0	1.562	3.766
1204.0	1.59	3.766
1206.0	1.645	3.76
1208.0	1.709	3.756
1210.0	1.745	3.754
1212.0	1.778	3.754
1214.0	1.781	3.739
1216.0	1.7399999999999998	3.731
1218.0	1.705	3.716
1220.0	1.598	3.696
1222.0	1.492	3.677000000000001
1224.0	1.388	3.654
1226.0	1.251	3.637000000000001
1228.0	1.156	3.62
1230.0	1.064	3.599
1232.0	0.9763	3.586
1234.0	0.9168	3.569
1236.0	0.8449	3.5620000000000003
1238.0	0.7884	3.553
1240.0	0.7525	3.532
1242.0	0.6974	3.531
1244.0	0.669	3.516
1246.0	0.6352	3.502
1248.0	0.5977	3.497
1250.0	0.5863	3.472
1252.0	0.5535	3.469
1254.0	0.5337000000000001	3.462
1256.0	0.5235	3.445
1258.0	0.4927	3.449
1260.0	0.4812	3.432
1262.0	0.4671999999999999	3.424
1264.0	0.4438999999999999	3.417
1266.0	0.4403	3.405
1268.0	0.423	3.397
1270.0	0.4094	3.389
1272.0	0.4055	3.382
1274.0	0.3869	3.373
1276.0	0.3832	3.361
1278.0	0.3765	3.354
1280.0	0.3625	3.344
1282.0	0.3631999999999999	3.3389999999999995
1284.0	0.3543	3.327
1286.0	0.346	3.324
1288.0	0.347	3.318
1290.0	0.3359	3.31
1292.0	0.333	3.295
1294.0	0.3318	3.285
1296.0	0.3194	3.282
1298.0	0.3207	3.2750000000000004
1300.0	0.3177	3.272
1302.0	0.3122	3.268
1304.0	0.3137999999999999	3.251
1306.0	0.3044	3.241
1308.0	0.3005	3.2350000000000003
1310.0	0.3006999999999999	3.226
1312.0	0.2922	3.218
1314.0	0.2915999999999999	3.2140000000000004
1316.0	0.2878	3.208
1318.0	0.2825	3.192
1320.0	0.2825	3.182
1322.0	0.2779	3.176
1324.0	0.2764	3.171
1326.0	0.2769999999999999	3.164
1328.0	0.2716	3.156
1330.0	0.2721	3.148
1332.0	0.2719	3.137
1334.0	0.2675	3.133
1336.0	0.2693	3.12
