nm	mua[cm-1]	musp[cm-1]
1226.0	0.2147	2.232
1228.0	0.2049	2.223
1230.0	0.1952999999999999	2.213
1232.0	0.1832	2.21
1234.0	0.186	2.203
1236.0	0.1805999999999999	2.194
1238.0	0.1797	2.188
1240.0	0.1828	2.18
1242.0	0.1768	2.183
1244.0	0.1815	2.177
1246.0	0.1814	2.176
1248.0	0.1761	2.172
1250.0	0.1849	2.162
1252.0	0.1801	2.157
1254.0	0.1787	2.156
1256.0	0.1849	2.144
1258.0	0.1779	2.144
1260.0	0.1830999999999999	2.135
1262.0	0.1851999999999999	2.129
1264.0	0.1808999999999999	2.124
1266.0	0.1851999999999999	2.118
1268.0	0.1835	2.115
1270.0	0.1830999999999999	2.109
1272.0	0.1901	2.098
1274.0	0.1849	2.098
1276.0	0.19	2.092
1278.0	0.1908	2.083
1280.0	0.1841999999999999	2.083
1282.0	0.191	2.076
1284.0	0.1893999999999999	2.069
1286.0	0.1868	2.068
1288.0	0.1913	2.056
1290.0	0.1872	2.054
1292.0	0.1876999999999999	2.052
1294.0	0.1912	2.039
1296.0	0.1844	2.041
1298.0	0.189	2.03
1300.0	0.1889	2.028
1302.0	0.1843	2.02
1304.0	0.1868999999999999	2.015
1306.0	0.181	2.015
1308.0	0.1797	2.01
1310.0	0.1819	1.999
1312.0	0.1728	1.996
1314.0	0.1765999999999999	1.991
1316.0	0.1759	1.993
1318.0	0.1747999999999999	1.982
1320.0	0.1802	1.969
1322.0	0.1775	1.968
1324.0	0.1783	1.965
1326.0	0.1827	1.964
1328.0	0.1818	1.956
1330.0	0.1872	1.945
1332.0	0.1909	1.94
1334.0	0.1906	1.932
1336.0	0.2017	1.929
1338.0	0.204	1.928
1340.0	0.209	1.925
1342.0	0.2202	1.918
1344.0	0.2236	1.917
1346.0	0.234	1.909
1348.0	0.244	1.904
1350.0	0.253	1.907
1352.0	0.2711	1.896
1354.0	0.291	1.887
1356.0	0.311	1.885
1358.0	0.3445	1.88
1360.0	0.3803999999999999	1.88
1362.0	0.4266	1.876
1364.0	0.4861	1.87
1366.0	0.5591999999999999	1.875
1368.0	0.6718000000000001	1.871
1370.0	0.7739	1.877
1372.0	0.8176	1.865
1374.0	0.7913000000000001	1.868
1376.0	0.7787	1.864
1378.0	0.7928000000000001	1.856
1380.0	0.8077	1.866
1382.0	0.8079000000000001	1.849
1384.0	0.8042	1.842
1386.0	0.8168	1.842
1388.0	0.8598	1.834
1390.0	0.9168	1.845
1392.0	1.0	1.838
1394.0	1.084	1.839
1396.0	1.162	1.829
1398.0	1.209	1.828
