nm	mua[cm-1]	musp[cm-1]
1054.0	0.5491999999999999	1.7627481132038565
1056.0	0.5544	1.7593752218170553
1058.0	0.5458	1.7560164821739217
1060.0	0.5375	1.7526717989962166
1062.0	0.539	1.749341077901597
1064.0	0.5316	1.746024225392821
1066.0	0.5345	1.742721148847108
1068.0	0.5302	1.739431756505654
1070.0	0.5185	1.736155957463302
1072.0	0.5293	1.7328936616583568
1074.0	0.5214	1.7296447798625512
1076.0	0.5237	1.7264092236711535
1078.0	0.526	1.72318690549322
1080.0	0.5134	1.7199777385419857
1082.0	0.5271	1.7167816368253908
1084.0	0.5247999999999999	1.7135985151367465
1086.0	0.5203	1.7104282890455296
1088.0	0.5356000000000001	1.7072708748883099
1090.0	0.5226	1.7041261897598046
1092.0	0.5291	1.7009941515040627
1094.0	0.5361	1.6978746787057675
1096.0	0.5355	1.6947676906816675
1098.0	0.5455	1.6916731074721247
1100.0	0.5462	1.68859084983278
1102.0	0.5481	1.685520839226338
1104.0	0.5607	1.682462997814464
1106.0	0.553	1.6794172484497945
1108.0	0.5643	1.6763835146680586
1110.0	0.5734	1.6733617206803073
1112.0	0.5622	1.6703517913652521
1114.0	0.5838	1.667353652261706
1116.0	0.5824	1.6643672295611334
1118.0	0.5816	1.6613924501002941
1120.0	0.597	1.6584292413539978
1122.0	0.6	1.6554775314279484
1124.0	0.6119	1.6525372490516927
1126.0	0.6301	1.6496083235716594
1128.0	0.6365999999999999	1.6466906849442946
1130.0	0.6651	1.6437842637292936
1132.0	0.6847000000000001	1.6408889910829167
1134.0	0.7178	1.638004798751402
1136.0	0.7689	1.63513161906446
1138.0	0.8186	1.6322693849288634
1140.0	0.8767999999999999	1.6294180298221146
1142.0	0.9394	1.6265774877862007
1144.0	1.007	1.6237476934214352
1146.0	1.071	1.6209285818803747
1148.0	1.131	1.6181200888618223
1150.0	1.189	1.615322150604905
1152.0	1.242	1.6125347038832334
1154.0	1.277	1.6097576859991356
1156.0	1.312	1.6069910347779688
1158.0	1.335	1.6042346885625034
1160.0	1.344	1.6014885862073804
1162.0	1.37	1.5987526670736445
1164.0	1.388	1.596026871023342
1166.0	1.399	1.593311138414197
1168.0	1.406	1.590605410094348
1170.0	1.4169999999999998	1.5879096273971596
1172.0	1.422	1.585223732136095
1174.0	1.4249999999999998	1.5825476665996612
1176.0	1.4260000000000002	1.5798813735464112
1178.0	1.42	1.5772247962000188
1180.0	1.4280000000000002	1.5745778782444066
1182.0	1.44	1.5719405638189465
1184.0	1.4460000000000002	1.5693127975137124
1186.0	1.4480000000000002	1.566694524364798
1188.0	1.449	1.564085689849694
1190.0	1.456	1.5614862398827198
1192.0	1.467	1.558896120810518
1194.0	1.463	1.5563152794076005
1196.0	1.465	1.5537436628719556
1198.0	1.464	1.5511812188207055
1200.0	1.457	1.5486278952858203
1202.0	1.473	1.5460836407098861
1204.0	1.453	1.5435484039419245
1206.0	1.447	1.5410221342332642
1208.0	1.457	1.5385047812334636
1210.0	1.427	1.535996294986284
1212.0	1.4380000000000002	1.5334966259257146
1214.0	1.4349999999999998	1.5310057248720415
1216.0	1.4	1.5285235430279696
1218.0	1.418	1.5260500319747898
1220.0	1.412	1.523585143668594
1222.0	1.403	1.5211288304365356
1224.0	1.403	1.5186810449731352
1226.0	1.376	1.5162417403366335
1228.0	1.374	1.5138108699453843
1230.0	1.372	1.5113883875742955
1232.0	1.347	1.5089742473513108
1234.0	1.349	1.506568403753933
1236.0	1.331	1.5041708116057908
1238.0	1.331	1.5017814260732483
1240.0	1.336	1.4994002026620477
1242.0	1.3050000000000002	1.4970270972140036
1244.0	1.306	1.4946620659037264
1246.0	1.3039999999999998	1.4923050652353895
1248.0	1.2759999999999998	1.4899560520395356
1250.0	1.288	1.487614983469917
1252.0	1.265	1.4852818170003774
1254.0	1.267	1.4829565104217695
1256.0	1.275	1.480639021838904
1258.0	1.248	1.4783293096675434
1260.0	1.26	1.476027332631423
1262.0	1.255	1.4737330497593115
1264.0	1.227	1.471446420382103
1266.0	1.25	1.4691674041299452
1268.0	1.23	1.4668959609293988
1270.0	1.229	1.4646320510006328
1272.0	1.258	1.4623756348546493
1274.0	1.231	1.4601266732905402
1276.0	1.244	1.4578851273927809
1278.0	1.246	1.4556509585285458
