nm	mua[cm-1]	musp[cm-1]
1232.0	0.7814	5.522
1234.0	0.7094	5.522
1236.0	0.6233000000000001	5.5120000000000005
1238.0	0.5616	5.506
1240.0	0.5214	5.488
1242.0	0.4617	5.496
1244.0	0.4375	5.461
1246.0	0.4028	5.467
1248.0	0.3611999999999999	5.445
1250.0	0.3508	5.44
1252.0	0.3214	5.421
1254.0	0.2995	5.427999999999999
1256.0	0.2949	5.4110000000000005
1258.0	0.2582	5.385999999999999
1260.0	0.2543	5.377
1262.0	0.2433	5.366
1264.0	0.2203	5.345
1266.0	0.2207	5.331
1268.0	0.2080999999999999	5.3180000000000005
1270.0	0.1966999999999999	5.315
1272.0	0.1994	5.3100000000000005
1274.0	0.1825999999999999	5.303
1276.0	0.1851	5.28
1278.0	0.1814	5.271
1280.0	0.164	5.258000000000001
1282.0	0.1725	5.238
1284.0	0.1631	5.237
1286.0	0.1607	5.223
1288.0	0.1685	5.198
1290.0	0.153	5.208
1292.0	0.1523	5.193
1294.0	0.1543	5.1770000000000005
1296.0	0.1422	5.158
1298.0	0.1469	5.154
1300.0	0.1438	5.144
1302.0	0.1378	5.126
1304.0	0.1403	5.118
1306.0	0.1326	5.119
1308.0	0.1288	5.101
1310.0	0.1324	5.083
1312.0	0.1206	5.072
1314.0	0.1221	5.057
1316.0	0.1208	5.047000000000001
1318.0	0.1144	5.048
1320.0	0.1221	5.038
1322.0	0.1127	5.021
1324.0	0.1115	5.011
1326.0	0.1163	4.985
1328.0	0.1099	4.989
1330.0	0.1117	4.978
1332.0	0.1136	4.97
1334.0	0.1093	4.933
1336.0	0.1159	4.922000000000001
1338.0	0.1154	4.922000000000001
1340.0	0.1142	4.9030000000000005
1342.0	0.1234	4.893
1344.0	0.1208	4.878
1346.0	0.1283	4.866
1348.0	0.1391	4.847
1350.0	0.1403	4.8580000000000005
1352.0	0.1581	4.835
1354.0	0.1724	4.812
1356.0	0.1926999999999999	4.808
1358.0	0.2268	4.784
1360.0	0.2561	4.783
1362.0	0.2853	4.754
1364.0	0.3046	4.722
1366.0	0.3232	4.73
1368.0	0.3549	4.713
1370.0	0.4013	4.711
1372.0	0.4482	4.666
1374.0	0.5052	4.676
1376.0	0.5700999999999999	4.687
1378.0	0.6356	4.656000000000001
1380.0	0.7047000000000001	4.638
1382.0	0.7657	4.614
1384.0	0.8338	4.589
1386.0	0.9149	4.586
1388.0	1.022	4.565
1390.0	1.131	4.537
1392.0	1.24	4.546
1394.0	1.293	4.515000000000001
1396.0	1.272	4.473
1398.0	1.122	4.473
1400.0	1.012	4.478
1402.0	0.978	4.401
1404.0	0.9735	4.412
1406.0	0.9864	4.4030000000000005
1408.0	1.038	4.393000000000001
1410.0	1.081	4.377
1412.0	1.142	4.325
1414.0	1.187	4.321
1416.0	1.199	4.301
1418.0	1.167	4.29
1420.0	1.111	4.273
1422.0	1.073	4.284
1424.0	1.069	4.249
1426.0	1.039	4.218
1428.0	1.019	4.19
1430.0	0.9999	4.198
1432.0	0.983	4.162
1434.0	0.961	4.162
1436.0	0.9388	4.165
1438.0	0.9183	4.154999999999999
1440.0	0.8792	4.144
1442.0	0.8326	4.118
1444.0	0.7898	4.115
1446.0	0.7481	4.105
1448.0	0.7135	4.112
1450.0	0.6845999999999999	4.106
1452.0	0.6676	4.071
1454.0	0.6172	4.048
1456.0	0.5843	4.053
1458.0	0.5578000000000001	4.071
1460.0	0.5333	4.043
1462.0	0.5104	4.037
1464.0	0.4969	4.01
1466.0	0.4659	4.011
1468.0	0.4392	3.984
1470.0	0.4265	4.013
1472.0	0.3998	4.001
1474.0	0.3927	3.956
1476.0	0.3621	3.998
1478.0	0.3413	3.96
