Object Number,Area,Aspect_Ratio,Diameter,Width,Length
6336,68.77777778,0.897746982,6.751058212,6.333333333,7.333333333
6342,70.11111111,0.989498925,6.875703657,6.666666667,7
6357,72.22222222,0.920460076,7.038464736,7,7
6375,72.88888889,0.947688928,7.138306102,6.666666667,7.333333333
6381,81.22222222,0.878367572,7.36280509,6.333333333,7.666666667
6403,72.22222222,0.962396057,7.078570273,7,7
6416,59.33333333,0.938469294,6.373600897,6,6.333333333
6418,65.11111111,0.885594319,6.613375111,6,7
6419,78.77777778,0.939268881,7.256302627,6.666666667,7.333333333
6433,67.11111111,0.88861127,6.666666667,6,7.333333333
6480,74,0.894054843,7.098538071,6.333333333,7.666666667
6485,62.33333333,0.90253402,6.461821023,6,6.666666667
6507,66.77777778,0.892279007,6.581193046,6.333333333,7
6512,54.33333333,0.871104461,5.948588419,5.333333333,6.333333333
6516,64.11111111,0.896912623,6.548852835,6,7
6520,72.44444444,0.978035662,7.148213541,7,7.333333333
6536,71.11111111,0.91340816,6.875703657,6.666666667,7
6549,71.88888889,0.876349972,7.167987337,6.666666667,7.333333333
6562,63.22222222,0.878432697,6.428880344,6,6.666666667
6572,74.33333333,0.90050406,7.256302627,6.666666667,7.666666667
6587,69.22222222,0.974790484,6.687864388,6.666666667,6.666666667
6597,75.33333333,0.920169745,7.167987337,7,7.333333333
6607,68.11111111,0.888481694,6.834407766,6.333333333,7.333333333
6621,67.44444444,0.964429116,6.645401328,6.333333333,6.666666667
6623,68.33333333,0.907122681,6.885988934,6.666666667,7
6632,60.77777778,0.843861318,6.570430663,6,6.666666667
6636,72.66666667,0.938039276,7.078570273,7,7.333333333
6643,47.77777778,0.877682028,5.529308131,5.333333333,5.333333333
6656,69.11111111,0.938995977,6.74056705,6.333333333,7
6662,69.55555556,0.894281215,6.761533095,6.333333333,6.666666667
6673,80.77777778,0.988036529,7.36280509,7,7
6680,66.33333333,0.926240237,6.687864388,6.333333333,6.666666667
6688,67.11111111,0.930171618,6.645401328,6.333333333,7
6695,76.55555556,0.957619009,7.333912349,7.333333333,7.333333333
6699,69.22222222,0.954396329,6.80327135,6.333333333,7
6722,72.33333333,0.938736268,6.937186582,6.666666667,7.333333333
6729,60.55555556,0.854678292,6.351354404,5.333333333,7
6754,73.44444444,0.920807373,7.048512514,6.666666667,7
6761,78.22222222,0.928750004,7.353186791,7.333333333,7.333333333
6768,62.88888889,0.976844948,6.340201885,6.333333333,6.333333333
6781,72.66666667,0.956531408,6.977874243,6.666666667,7.333333333
6803,68.11111111,0.887228299,6.80327135,6.666666667,7
6813,60.77777778,0.945451739,6.439879292,6,6.666666667
6817,70.44444444,0.940899438,6.906513536,6.666666667,7
6823,61,0.912263859,6.428880344,5.666666667,6.333333333
6826,65,0.864733874,6.645401328,6,7.333333333
6833,67.55555556,0.88470106,6.782434329,6.333333333,7.333333333
6838,77.77777778,0.89865536,7.391584894,7,7.666666667
6841,67.11111111,0.993479593,6.65604249,6.333333333,7
6858,70.66666667,0.858373682,6.792860829,6.333333333,7.333333333
6875,69.55555556,0.967688673,6.834407766,6.666666667,6.666666667
6890,74.44444444,0.904987553,7.058545989,7,7.333333333
6892,72.33333333,0.959157113,6.957560155,7,7
6902,67,0.887446309,6.613375111,6.333333333,6.666666667
6903,67,0.946658491,6.624067721,6.333333333,7
6909,74.55555556,0.996459214,7.217184808,7.333333333,7.333333333
6927,67.22222222,0.964501556,6.751058212,6.666666667,6.666666667
6933,67.22222222,0.980389275,6.751058212,6.666666667,6.666666667
6935,75.55555556,0.930798629,7.217184808,6.666666667,7.666666667
6938,74.44444444,0.925097994,7.158107267,6.666666667,7.333333333
6968,71.55555556,0.9274714,6.977874243,6.666666667,7.333333333
6970,69.55555556,0.935293645,6.865402972,6.666666667,7
7000,72.88888889,0.9509228,6.998129363,6.666666667,7.666666667
7019,67.66666667,0.930759329,6.813665965,6.333333333,7
7073,71,0.884506923,6.813665965,6.333333333,7.333333333
7084,86,0.98648083,7.571316977,7.333333333,7.333333333
7088,67.66666667,0.963456288,6.792860829,6.666666667,6.666666667
7097,69.88888889,0.920896369,6.782434329,6.333333333,7
7103,69.44444444,0.9282283,6.719535589,6.333333333,7
7115,67.66666667,0.895217018,6.65604249,6.333333333,7
7134,60.11111111,0.927643421,6.362487373,6.333333333,6.333333333
7135,72.88888889,0.924123688,7.088561203,6.666666667,7.333333333
7175,74.22222222,0.963442363,7.187706734,7,7.333333333
7179,53.77777778,0.865239269,6.019548245,5.333333333,6.666666667
7183,75.77777778,0.955933948,7.236770148,7,7.666666667
7184,72.88888889,0.970129015,7.148213541,7,7
7189,66.33333333,0.886465562,6.926977325,6.333333333,7.666666667
7224,67.55555556,0.881108498,6.761533095,6.333333333,7
7237,65.22222222,0.881234191,6.548852835,6,7.333333333
7241,43.11111111,0.872501312,5.117169246,4.666666667,5.333333333
7248,70,0.925735979,6.865402972,6.666666667,6.666666667
7255,70.66666667,0.982318698,6.967724602,6.666666667,7
7257,70.77777778,0.871858646,6.834407766,6.333333333,7.333333333
7258,71.44444444,0.975615078,6.926977325,7,7
7268,70.66666667,0.914583831,6.906513536,6.666666667,7
7272,68.55555556,0.897406448,6.771991776,6.333333333,7
7280,74.11111111,0.95778161,7.207372179,7,7.333333333
7298,73,0.968015677,7.098538071,7,7.333333333
7329,71,0.922640429,6.916752999,6.666666667,7
7336,64.22222222,0.983267131,6.461821023,6.333333333,6.666666667
7343,65.55555556,0.946542779,6.591937858,6.333333333,6.666666667
7344,74.33333333,0.907657526,7.128384894,6.666666667,7.666666667
7348,76.44444444,0.962507215,7.285503158,7,7.333333333
7353,67.44444444,0.929460258,6.885988934,6.333333333,7.333333333
7377,69.33333333,0.925390716,6.896258871,6.666666667,7.333333333
7378,64.88888889,0.928632563,6.634743099,6.333333333,7
7383,70,0.963729412,6.896258871,6.666666667,6.666666667
7395,48.44444444,0.858486183,5.605578053,5.333333333,5.666666667
7401,61.88888889,0.908325945,6.472763996,6.333333333,6.333333333
7416,69.77777778,0.923048601,6.813665965,6.666666667,7
7429,58.55555556,0.901125819,6.329029714,5.666666667,6.666666667
7464,73.44444444,0.961644426,7.128384894,7,7
7470,76.77777778,0.948091906,7.236770148,7,7.333333333
7473,71.88888889,0.930683042,7.048512514,6.666666667,7.333333333
7481,63.11111111,0.880803398,6.494594628,5.666666667,7
7482,77.33333333,0.973097442,7.410709337,7.333333333,7.333333333
7534,71.44444444,0.981259476,7.088561203,7,7
7558,64.22222222,0.930248318,6.65604249,6.333333333,6.666666667
7565,65.33333333,0.911019328,6.645401328,6.333333333,7
7570,64.66666667,0.933697619,6.516352125,6,6.666666667
7575,72.44444444,0.909932084,6.906513536,6.666666667,7
7581,67.33333333,0.884491032,6.634743099,6.333333333,7
7590,63.22222222,0.940159866,6.39577001,6,6.666666667
7598,68.33333333,0.925558372,6.792860829,6.666666667,7
7626,72,0.971281617,7.068565222,7,7
7635,62.22222222,0.961731372,6.284142412,6,6.333333333
7646,73.77777778,0.970454012,7.217184808,7,7
7648,63,0.977871939,6.450859486,6.333333333,6.333333333
7665,71.77777778,0.937105324,6.926977325,6.333333333,7
7714,69.88888889,0.959861524,6.947380837,7,7
