nm,H2O mua,H2O std,DMSO mua,DMSO std,D2O mua,D2O std,melanin mua,melanin std,corn oil mua,corn oil std,HbO2 mua,HbO2 std,Hb mua,Hb std,melanin DMSO mua,melanin DMSO std
324,,,,,,,19.771066759712483,0.15890374381365863,19.641761318473897,0.09457489354375173,13.819663515091472,0.03616115392025785,13.708373405697564,0.4881511282439939,1858.4802754129732,14.936951918483912
326,,,0.04586354837724638,0.012207284378326624,,,19.662372572160123,0.07831740718744983,18.77070885625662,0.054638826737188353,14.4043877163976,0.10971647521213881,14.252183503223023,0.4423394656477008,1843.9518482355907,7.450728458225292
328,,,,,,,19.444135638418597,0.05535019997537073,17.876003048970258,0.06422021027777483,14.949535734199406,0.12179743436827603,14.752440992357384,0.44603423016936694,1827.7487500113482,5.202918797684848
330,,,,,,,19.307393492589256,0.07825826845945213,16.73242954018401,0.29396124301525095,15.505677049209163,0.028964060327239163,15.282662165460232,0.40616315486598475,1814.8949883033902,7.356277235188501
332,,,0.024695726080880987,0.006118158981169287,,,18.958856448951366,0.06446532619905919,15.56724190343251,0.1601597862287465,16.01561131212598,0.0,15.791138618712594,0.4634363219741998,1779.8111079498256,6.086970091648344
334,,,,,,,18.85725812857385,0.028534609679883062,14.313588516341573,0.17478185628870693,16.304523906855874,0.04540668362329029,16.321207933848218,0.4365947162530935,1772.582264085942,2.682253309909008
336,,,,,,,18.532656122646927,0.14490864065564507,13.016090836708491,0.054723560458400426,16.788781199956777,0.03402850309565623,16.737762089639446,0.41776688287257413,1742.069675528811,13.621412221630637
338,,,,,,,18.223077598183483,0.0727317646169293,11.623071523020128,0.06714440759961338,16.91085423034852,0.03324473718942112,17.228755997438586,0.31890798165407774,1712.9692942292475,6.836785873991355
340,,,,,,,18.14064801659089,0.048660415384754574,10.305185805458509,0.036637820923692485,17.25828085299231,0.05142497808306498,17.60559206643164,0.37586904110826536,1705.2209135595438,4.57407904616693
342,,,,,,,17.84611039341208,0.02652451466414858,9.119484421250055,0.03208990239479734,17.26076208466456,0.2192275725608449,18.199505804988537,0.308104526262832,1677.5343769807355,2.493304378429966
344,,,,,,,17.63999213917217,0.41365148498059684,8.072704267731753,0.04977167136462927,17.431871578669558,0.052357092101205684,18.718491652785776,0.17521083337500196,1658.1592610821838,38.8832395881761
346,,,,,,,17.531730933749596,3.143216758793455e-15,7.163843903224847,0.04375528450105245,17.219353684669368,0.03443440969321873,19.215460123645297,0.44522990541081925,1647.9827077724622,2.9546237532658477e-13
