nm	musp[cm-1]	musp_std[cm-1]
890.0	8.585	0.602826081013933
892.0	8.581999999999999	0.5869575247004416
894.0	8.547	0.5981073440961316
896.0	8.519	0.5876805632692341
898.0	8.52	0.5879347616450459
900.0	8.472	0.5887206048859545
902.0	8.437	0.5843002356940299
904.0	8.431999999999999	0.5852955568675443
906.0	8.378	0.5785655526951395
908.0	8.357	0.5801374251836933
910.0	8.333	0.5854167450902806
912.0	8.342	0.5882382569279054
914.0	8.292	0.5850324038719965
916.0	8.279	0.5945190607375399
918.0	8.265	0.5764363701995986
920.0	8.265	0.5753007157828391
922.0	8.212	0.5735369793367003
924.0	8.167	0.5745825108097138
926.0	8.156	0.5774024208085341
928.0	8.139	0.5749415429222156
930.0	8.103	0.579640309924085
932.0	8.068	0.5726437282518451
934.0	8.062000000000001	0.5724723725071375
936.0	8.041	0.5793430719890661
938.0	7.971	0.5879506782035377
940.0	7.981	0.5806240151023553
942.0	7.976	0.575371720963023
944.0	7.945	0.5743090534624097
946.0	7.917	0.5789822701394253
948.0	7.921	0.5709970703260988
950.0	7.894	0.5810603334517951
952.0	7.882	0.5773540754121872
954.0	7.854999999999999	0.5801189533190585
956.0	7.84	0.5748929905793635
958.0	7.837	0.5771877756805509
960.0	7.812	0.5712163975583213
962.0	7.765	0.5770892478637945
964.0	7.758000000000001	0.5685337433116443
966.0	7.744999999999999	0.5806324988884382
968.0	7.727	0.5754690840233438
970.0	7.705999999999999	0.5824015627098831
972.0	7.7	0.5745286849901778
974.0	7.679	0.5795761115986429
976.0	7.664	0.5832533490137907
978.0	7.625999999999999	0.5846727690884704
980.0	7.621	0.5897931840908303
982.0	7.578	0.584236591683308
984.0	7.576	0.5766468204677413
986.0	7.552	0.5766001888464638
988.0	7.546	0.5813163223810829
990.0	7.509	0.5847703147284872
992.0	7.51	0.582642829413241
994.0	7.481	0.5807464120093455
996.0	7.45	0.582058310260415
998.0	7.437	0.581404238795082
1000.0	7.42	0.5785779715265716
1002.0	7.4	0.5737268890420567
1004.0	7.376	0.5773910671671711
1006.0	7.369	0.5762056817268648
1008.0	7.362	0.5751689606831484
1010.0	7.335000000000001	0.5752392309635239
1012.0	7.329	0.5713521972770678
1014.0	7.305000000000001	0.5838127130772484
1016.0	7.284000000000001	0.5771973366467475
1018.0	7.25	0.578977643014919
1020.0	7.231999999999999	0.5845276239921231
1022.0	7.208	0.5842965381075299
1024.0	7.1930000000000005	0.5802802217915662
1026.0	7.167	0.5797867424033312
1028.0	7.151	0.5834834092661836
1030.0	7.143000000000001	0.5795959852973793
1032.0	7.099	0.575856463597194
1034.0	7.098	0.5705332788034562
1036.0	7.098	0.5710389708004521
1038.0	7.066	0.5691134322482925
1040.0	7.056	0.563553605850115
1042.0	7.003	0.5690799158442371
1044.0	6.997	0.5711272371264169
1046.0	6.978	0.5747914490287265
1048.0	6.959999999999999	0.5744292067611523
1050.0	6.9430000000000005	0.5678890954150801
1052.0	6.93	0.5693565569033953
1054.0	6.917	0.577030713605822
1056.0	6.921	0.566768117280279
1058.0	6.904	0.5663842433464327
1060.0	6.867	0.5699327445702109
1062.0	6.865	0.5667086258975302
1064.0	6.831	0.5681428050354772
1066.0	6.779	0.5743959145630013
1068.0	6.775	0.5769629296776546
