nm	musp[cm-1]	musp_std[cm-1]	fit_musp[cm-1]
1160.0	1.617	0.3745689209520857	1.6014885862073804
1162.0	1.6070000000000002	0.3803629845292519	1.5987526670736445
1164.0	1.595	0.3850015231651768	1.596026871023342
1166.0	1.594	0.3826265948821528	1.593311138414197
1168.0	1.591	0.384438342918826	1.590605410094348
1170.0	1.5870000000000002	0.3875022899175668	1.5879096273971596
1172.0	1.582	0.3834200224039518	1.585223732136095
1174.0	1.5759999999999998	0.3869447276061817	1.5825476665996612
1176.0	1.575	0.3886016081754464	1.5798813735464112
1178.0	1.586	0.3861452742679964	1.5772247962000188
1180.0	1.582	0.3854552222957444	1.5745778782444066
1182.0	1.57	0.3915578572261775	1.5719405638189465
1184.0	1.565	0.3908893310590639	1.5693127975137124
1186.0	1.568	0.3890356865791347	1.566694524364798
1188.0	1.575	0.3904607281749518	1.564085689849694
1190.0	1.5690000000000002	0.3911481674364446	1.5614862398827198
1192.0	1.5579999999999998	0.3925124516386175	1.558896120810518
1194.0	1.564	0.3915113167088674	1.5563152794076005
1196.0	1.554	0.3978294193666178	1.5537436628719556
1198.0	1.554	0.3983705700865854	1.5511812188207055
1200.0	1.553	0.3958223819147818	1.5486278952858203
1202.0	1.533	0.4015460246055777	1.5460836407098861
1204.0	1.5470000000000002	0.3947560271707758	1.5435484039419245
1206.0	1.544	0.3960431451742425	1.5410221342332642
1208.0	1.529	0.3921013978205631	1.5385047812334636
1210.0	1.545	0.3897434420452562	1.535996294986284
1212.0	1.532	0.4004891675605388	1.5334966259257146
1214.0	1.5260000000000002	0.4002901497047076	1.5310057248720415
1216.0	1.554	0.387772683825186	1.5285235430279696
1218.0	1.53	0.3940927696762668	1.5260500319747898
1220.0	1.52	0.3966753948619562	1.523585143668594
1222.0	1.5179999999999998	0.3963175690725249	1.5211288304365356
1224.0	1.517	0.3943334432234279	1.5186810449731352
1226.0	1.533	0.389749428843649	1.5162417403366335
1228.0	1.524	0.3937786305483617	1.5138108699453843
1230.0	1.515	0.3951886103846843	1.5113883875742955
1232.0	1.529	0.3837288832007166	1.5089742473513108
1234.0	1.525	0.391741122316231	1.506568403753933
1236.0	1.521	0.3957259969870036	1.5041708116057908
1238.0	1.517	0.3924075775435284	1.5017814260732483
1240.0	1.508	0.3971987909173098	1.4994002026620477
1242.0	1.522	0.3865558289418087	1.4970270972140036
1244.0	1.516	0.3873910879998769	1.4946620659037264
1246.0	1.5060000000000002	0.3920571670333578	1.4923050652353895
1248.0	1.522	0.3800949787086198	1.4899560520395356
1250.0	1.509	0.3900372283592591	1.487614983469917
1252.0	1.513	0.3840157490983352	1.4852818170003774
1254.0	1.4979999999999998	0.3941914268317543	1.4829565104217695
1256.0	1.495	0.3985373529901495	1.480639021838904
1258.0	1.512	0.3842804039876206	1.4783293096675434
1260.0	1.4979999999999998	0.3874398527593319	1.476027332631423
1262.0	1.493	0.3889252002095322	1.4737330497593115
1264.0	1.513	0.3829639856709605	1.471446420382103
1266.0	1.487	0.3905715463772369	1.4691674041299452
1268.0	1.5	0.385586093891454	1.4668959609293988
1270.0	1.502	0.3874956831300762	1.4646320510006328
1272.0	1.477	0.3963863939810918	1.4623756348546493
1274.0	1.494	0.3920671484438461	1.4601266732905402
1276.0	1.49	0.3887282725459304	1.4578851273927809
1278.0	1.499	0.3884007631809009	1.4556509585285458
1280.0	1.503	0.3894652566954329	1.4534241283450646
1282.0	1.485	0.3918655636822403	1.4512045987670013
1284.0	1.48	0.3942858507463404	1.448992331993867
1286.0	1.483	0.3991333921026378	1.446787290497462
1288.0	1.473	0.4049817602964848	1.4445894370193444
1290.0	1.4860000000000002	0.3992760284735113	1.442398734568332
1292.0	1.484	0.4030917939142245	1.4402151464180277
1294.0	1.464	0.4116998523136262	1.4380386361043762
1296.0	1.479	0.4154132373646484	1.435869167423247
1298.0	1.47	0.4198885754607632	1.4337067044280452
1300.0	1.4660000000000002	0.4241760486483337	1.4315512114273479
1302.0	1.476	0.4180101180180117	1.4294026529825692
1304.0	1.457	0.4293571836025468	1.4272609939056495
1306.0	1.475	0.4295981895264975	1.4251261992567725
1308.0	1.464	0.4352431529871805	1.4229982343421042
1310.0	1.463	0.4415087466102266	1.4208770647115623
1312.0	1.467	0.4466041957419578	1.4187626561566062
1314.0	1.454	0.4509786765099506	1.416654974708052
1316.0	1.464	0.4563928449142129	1.4145539866339139
1318.0	1.459	0.4669985052980547	1.4124596584372677
1320.0	1.4280000000000002	0.4820591460048378	1.410371956854138
1322.0	1.4449999999999998	0.4805346276753234	1.408290848851409
1324.0	1.449	0.4889622684829577	1.4062163016247584
1326.0	1.431	0.5060287431449807	1.4041482825966132
1328.0	1.442	0.5111587250768808	1.4020867594141282
1330.0	1.4380000000000002	0.5225876726019811	1.4000316999471885
1332.0	1.4260000000000002	0.5284978461009404	1.3979830722864286
1334.0	1.414	0.546776693760356	1.3959408447412796
1336.0	1.409	0.5644382000966935	1.3939049858380332
1338.0	1.4280000000000002	0.5669703735156224	1.3918754643179276
1340.0	1.431	0.5814096027525169	1.3898522491352543
1342.0	1.389	0.6089882412860624	1.3878353094554863
1344.0	1.413	0.6066852606023149	1.3858246146534248
1346.0	1.406	0.616033860901962	1.3838201343113665
1348.0	1.406	0.6267232582800288	1.3818218382172909
1350.0	1.379	0.6446886117908703	1.3798296963630667
1352.0	1.351	0.6680175809026748	1.3778436789426778
1354.0	1.401	0.6639610906344914	1.3758637563504659
1356.0	1.366	0.6874171493961658	1.3738898991793973
1358.0	1.37	0.6992319518365389	1.37192207821934
1360.0	1.351	0.7089473518212203	1.3699602644553683
1362.0	1.342	0.7212020382666704	1.3680044290660767
1364.0	1.341	0.7265033210905202	1.3660545434219176
1366.0	1.33	0.7465738409561374	1.3641105790835533
1368.0	1.352	0.7672321708261569	1.3621725078002285
1370.0	1.32	0.8019107641004996	1.360240301508155
1372.0	1.309	0.8232979331121065	1.3583139323289188
1374.0	1.265	0.8790841661132972	1.3563933725678996
1376.0	1.272	0.9235213063107296	1.3544785947127094
1378.0	1.262	0.982232800470941	1.3525695714316448
1380.0	1.207	1.0406172740787611	1.35066627557216
1382.0	1.144	1.1398432463162818	1.3487686801593497
1384.0	0.9771	1.2774375170146457	1.3468767583944528
1386.0	0.8928	1.4163100625686924	1.344990483653368
1388.0	0.7453	1.60392242839427	1.3431098294851866
1390.0	0.6519999999999999	1.8012249049930844	1.341234769610741
1392.0	4.421	2.0332737047431664	1.3393652779211656
1394.0	4.8485	1.996826776882512	1.3375013284764747
1396.0	5.24	0.0122565175405665	1.335642895504155
1398.0	5.696	0.0192527054375913	1.33378995339777
1400.0	6.13	0.0317525152109596	1.3319424767155823
1402.0	6.615	0.0893320895435804	1.330100440179187
1404.0	6.893000000000001	0.0424342628858645	1.3282638186721594
1406.0	7.324000000000001	0.0601793615416081	1.3264325872387186
1408.0	7.664	0.0472252286624662	1.3246067210824024
1410.0	8.036999999999999	0.0230410262117139	1.3227861955647555
1412.0	8.189	0.065657359746557	1.3209709862040333
1414.0	8.458	0.0148548533034382	1.3191610686739152
1416.0	8.751	0.0193448241713956	1.317356418802235
1418.0	8.977	0.0251528659732179	1.3155570125697198
1420.0	9.113	0.0372499067858639	1.3137628261087457
1422.0	9.28	0.0100774776385538	1.3119738357021014
1424.0	9.444	0.0726146602890138	1.3101900177817687
1426.0	9.589	0.0507630661888041	1.3084113489277116
1428.0	9.594	0.07970501169242	1.30663780586668
1430.0	9.722	0.0739774740489746	1.3048693654710235
1432.0	9.844	0.0162138486760201	1.303106004757517
1434.0	10.05	0.0216024689946937	1.3013477008861996
1436.0	9.969	0.0389957262615617	1.2995944311592236
1438.0	10.169999999999998	0.0817856276425683	1.2978461730197148
1440.0	10.27	0.0543650214343338	1.2961029040506438
1442.0	10.06	0.0480832611206853	1.2943646019737105
1444.0	10.12	0.0634209919681359	1.292631244648236
1446.0	10.13	0.0464279609239474	1.2909028100700688
1448.0	10.12	0.0402768199119822	1.2891792763705
1450.0	10.25	0.0309120616516516	1.287460621815187
1452.0	10.44	0.0659966329107445	1.285746824803093
1454.0	10.18	0.064807406984078	1.2840378638654328
1456.0	10.08	0.0432049379893856	1.2823337176646281
1458.0	10.28	0.0262466929133718	1.2806343649932759
1460.0	10.15	0.112644968324772	1.2789397847731254
1462.0	10.19	0.0498887651569856	1.2772499560540653
1464.0	9.999	0.0310590834807899	1.2755648580131185
1466.0	9.922	0.0716767434776131	1.2738844699534506
1468.0	9.674	0.0943433445806689	1.272208771303384
1470.0	9.986	0.064261618058959	1.2705377416154244
1472.0	9.799	0.1135174974275869	1.2688713605652948
1474.0	9.515	0.1851719921226388	1.2672096079509787
1476.0	9.416	0.0901899230636236	1.2655524636917728
1478.0	9.28	0.032499572646763	1.2638999078273503
1480.0	9.212	0.098620484687513	1.2622519205168308
1482.0	8.956	0.0974485619299855	1.260608482037859
1484.0	9.083	0.0447834294751481	1.2589695727856938
1486.0	8.881	0.1033870827951396	1.257335173272306
1488.0	8.746	0.0269814751264642	1.2557052641254811
1490.0	8.676	0.0230988215187604	1.254079826087936
1492.0	8.393	0.0685776121550529	1.2524588400164394
