nm	mua[cm-1]	mua_std[cm-1]
1084	0.1498957401952427	1.849593138207719e-15
1086	0.16068904939200213	2.636990439935323e-15
1088	0.15360187687707536	0.00613984688964473
1090	0.1608613775162438	0.0
1092	0.1716780362236522	1.8836224491920597e-15
1094	0.17186244705411013	1.8535326337097583e-15
1096	0.17186244705411013	1.8535326337097583e-15
1098	0.17915205053229563	0.006150748606424094
1100	0.18289912750918008	1.889758027202458e-15
1102	0.18665294219359857	0.006159497893203339
1104	0.19397159882734968	1.8938706670875547e-15
1106	0.20500628051009334	0.008810918183246141
1108	0.21599111803461815	2.658556005288904e-15
1110	0.21622464013165657	0.0
1112	0.21645866774692663	2.6643124754126926e-15
1114	0.2312241742085415	0.0061858957413179465
1116	0.24603267046421093	0.006190317396600353
1118	0.26088436084297967	0.0
1120	0.2614528010432247	1.92104541175879e-15
