mua[cm-1]	nm
0.09354	916.0
0.09683	917.0
0.1	918.0
0.1032	919.0
0.10650000000000001	920.0
0.1099	921.0
0.1133	922.0
0.1167	923.0
0.12	924.0
0.1231	925.0
0.126	926.0
0.1282	927.0
0.12990000000000002	928.0
0.1307	929.0
0.131	930.0
0.12990000000000002	931.0
0.1283	932.0
0.1253	933.0
0.1218	934.0
0.11750000000000001	935.0
0.1126	936.0
0.107	937.0
0.1008	938.0
0.09433	939.0
0.08753999999999999	940.0
0.08088	941.0
0.07446	942.0
0.06822	943.0
0.0625	944.0
0.05704	945.0
0.05234	946.0
0.04802	947.0
0.04445	948.0
0.04109	949.0
0.03799	950.0
0.03519	951.0
0.03274	952.0
0.030459999999999997	953.0
0.02852	954.0
0.02666	955.0
0.02504	956.0
0.02358	957.0
0.02242	958.0
0.021330000000000002	959.0
0.020470000000000002	960.0
0.01975	961.0
0.01917	962.0
0.018600000000000002	963.0
0.018080000000000002	964.0
0.01753	965.0
0.01693	966.0
0.016390000000000002	967.0
0.01589	968.0
0.01554	969.0
0.01528	970.0
0.0151	971.0
0.014910000000000001	972.0
0.01463	973.0
0.014310000000000002	974.0
0.01413	975.0
0.014079999999999999	976.0
0.01414	977.0
0.01421	978.0
0.014230000000000001	979.0
0.01417	980.0
0.014070000000000001	981.0
0.01406	982.0
0.014199999999999999	983.0
0.014410000000000001	984.0
0.014810000000000002	985.0
0.01524	986.0
0.01564	987.0
0.01607	988.0
0.01652	989.0
0.01716	990.0
0.017929999999999998	991.0
0.01891	992.0
0.01994	993.0
0.020870000000000003	994.0
0.02178	995.0
0.022719999999999997	996.0
0.02366	997.0
0.02464	998.0
0.0256	999.0
0.02654	1000.0
0.02751	1001.0
0.028700000000000003	1002.0
0.02996	1003.0
0.03136	1004.0
0.03282	1005.0
0.034300000000000004	1006.0
0.03579	1007.0
0.03735	1008.0
0.03894	1009.0
0.04057	1010.0
0.04222000000000001	1011.0
0.04388	1012.0
0.045540000000000004	1013.0
0.047220000000000005	1014.0
0.04877	1015.0
