nm,mua_oxy[mm-1],mua_deoxy[mm-1],mus_oxy[mm-1],g
870,0.53,0.43,72.29,0.983
875,0.55,0.43,72.12,0.9829
880,0.56,0.44,71.63,0.9828
885,0.56,0.45,70.79,0.9828
890,0.56,0.45,70.07,0.9826
895,0.56,0.46,69.41,0.9824
900,0.56,0.46,68.86,0.9824
905,0.57,0.47,68.35,0.9823
910,0.57,0.47,68.07,0.982
915,0.57,0.47,67.82,0.982
920,0.57,0.47,67.54,0.9819
925,0.65,0.46,67.24,0.9818
930,0.65,0.45,66.86,0.9815
935,0.65,0.44,66.42,0.9812
940,0.65,0.43,66.08,0.9811
945,0.65,0.41,65.67,0.981
950,0.65,0.39,65.21,0.9808
955,0.65,0.38,64.78,0.9805
960,0.66,0.36,64.38,0.9801
965,0.68,0.34,63.95,0.98
970,0.69,0.32,63.58,0.9799
975,0.69,0.31,63.2,0.9798
980,0.68,0.29,62.68,0.9798
985,0.67,0.26,62.27,0.9798
990,0.66,0.25,62.09,0.9798
995,0.65,0.23,62,0.98
"1,000",0.64,0.22,61.83,0.9801
"1,005",0.66,0.31,61.69,0.9801
"1,010",0.65,0.28,61.62,0.9801
"1,015",0.63,0.28,61.57,0.98
"1,020",0.61,0.28,61.46,0.98
"1,025",0.6,0.27,61.18,0.98
"1,030",0.58,0.24,60.85,0.98
"1,035",0.56,0.24,60.49,0.98
"1,040",0.53,0.23,60.35,0.98
"1,045",0.5,0.22,60.31,0.98
"1,050",0.49,0.22,60.15,0.98
"1,055",0.48,0.22,59.87,0.98
"1,060",0.46,0.21,59.53,0.9799
"1,065",0.45,0.2,59.26,0.9799
"1,070",0.42,0.19,59.04,0.9799
"1,075",0.4,0.19,58.73,0.98
"1,080",0.37,0.18,58.34,0.9802
"1,085",0.35,0.17,58.08,0.9801
"1,090",0.34,0.17,57.98,0.9802
"1,095",0.34,0.16,57.89,0.9804
"1,100",0.35,0.15,57.81,0.9797
"1,105",0.33,0.15,57.58,0.9834
"1,110",0.33,0.16,57.66,0.9832
"1,115",0.33,0.15,57.67,0.9832
"1,120",0.31,0.14,57.72,0.9832
"1,125",0.32,0.14,57.53,0.9829
"1,130",0.31,0.13,57.26,0.9828
"1,135",0.3,0.15,57.78,0.9832
"1,140",0.3,0.16,57.93,0.9835
"1,145",0.29,0.18,57.72,0.9834
"1,150",0.3,0.19,57.51,0.9832
"1,155",0.31,0.21,57.33,0.983
"1,160",0.32,0.21,57.05,0.9829
"1,165",0.32,0.21,56.82,0.9828
"1,170",0.32,0.21,56.55,0.9827
"1,175",0.32,0.21,56.21,0.9827
"1,180",0.33,0.21,55.55,0.9827
"1,185",0.33,0.21,55.41,0.9827
"1,190",0.34,0.21,55.48,0.9827
"1,195",0.35,0.2,55.37,0.9827
"1,200",0.36,0.2,55.2,0.9826
"1,205",0.37,0.2,55.16,0.9826
"1,210",0.2,0.2,50.16,0.9784
"1,215",0.2,0.2,49.98,0.9784
"1,220",0.2,0.19,49.81,0.9784
"1,225",0.19,0.19,49.43,0.9784
"1,230",0.18,0.17,49.21,0.9784
"1,235",0.18,0.17,49.25,0.9784
"1,240",0.18,0.17,49.19,0.9783
"1,245",0.18,0.17,47.97,0.9782
"1,250",0.17,0.17,47.51,0.9781
"1,255",0.17,0.17,48.18,0.9781
"1,260",0.17,0.17,48.64,0.9783
"1,265",0.17,0.15,47.36,0.9781
"1,270",0.15,0.14,46.5,0.9775
"1,275",0.16,0.15,47.09,0.9774
"1,280",0.18,0.16,47.91,0.9778
"1,285",0.17,0.16,47.13,0.9778
"1,290",0.16,0.16,46.21,0.9778
"1,295",0.18,0.18,45.77,0.9778
"1,300",0.19,0.2,45.36,0.9779
"1,305",0.2,0.21,44.79,0.978
"1,310",0.21,0.22,44.21,0.9776
"1,315",0.22,0.23,43.95,0.9772
"1,320",0.24,0.26,43.91,0.9769
"1,325",0.26,0.29,43.64,0.9766
"1,330",0.29,0.31,43.38,0.9768
"1,335",0.32,0.34,43.85,0.9771
"1,340",0.35,0.37,44.37,0.9775
"1,345",0.37,0.37,44.02,0.9775
"1,350",0.39,0.38,43.68,0.9771
"1,355",0.42,0.41,43,0.9764
"1,360",0.45,0.43,42.32,0.9754
"1,365",0.5,0.51,41.09,0.9744
"1,370",0.59,0.65,40.31,0.9736
"1,375",0.72,0.78,40.8,0.9738
"1,380",0.88,0.92,41.69,0.9741
"1,385",1.07,1.05,41.21,0.9743
"1,390",1.3,1.2,40.43,0.9741
"1,395",1.46,1.35,39.59,0.9733
"1,400",1.62,1.49,39.21,0.9725
"1,405",1.78,1.71,39.09,0.9715
"1,410",1.94,1.83,38.98,0.9707
"1,415",2.04,1.94,39.09,0.9699
